property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price,row_id,row_num,sqft_numeric,sale_price,price_per_sqft_numeric
"4 BHK Apartment for Sale in Green Valley, Bharthana Surat","Carpet Area","2800 sqft","New Property","Ready to Move","1 out of 13",Furnished,East,"ultra luxurious Fully Furnished flat",NULL,"₹3.70 Cr ",4347,1,2800.00,37000000,NULL
"4 BHK Apartment for Sale in Green Valley, Bharthana Surat","Super Area","4500 sqft",Resale,"Ready to Move","6 out of 13",Unfurnished,North,"When it comes to beautiful homes, nothing beats us. With our appealing 45 BHK flats, enjoy the beauty of living life the luxurious way. Along with being located in the heart of the city, we are ecoconscious and believe in promoting an ecofriendly lifestyle.Our carefully planned layout, landscape, architecture, interior design  stateoftheart residential amenities, lifestyle here will be a truly luxurious  blissful experience.Read more","₹6,667 per sqft ","₹3 Cr ",4386,1,4500.00,30000000,6667
"4 BHK Apartment for Sale in Greenopolis, Vesu Surat","Carpet Area","1595 sqft","New Property","Poss. by Feb '25","7 out of 13",Unfurnished,North-East,"Altra Luxurious 4 Bhk Flat For Sell In Vesu","₹5,500 per sqft ","₹1.59 Cr ",4360,1,1595.00,15900000,5500
"4 BHK Apartment for Sale in Greenopolis, Vesu Surat","Super Area","2831 sqft","New Property","Poss. by Aug '24","5 out of 12",Unfurnished,North,"Looking for a 4 bhk property for sale in surat Buy this 4 bhk flat in dmd park that is situated in vesu, surat. The flat is southFacing. Constructed on a super built up area of 2831 sq.Ft., the flat comprises 4 bedrooms, 4 bathrooms and 1 balconies. The residential building has 12 floors in total and the flat for sale is located on the 5th floor. This residential property is still under construction and will be available for possession by august 2026Read more","₹5,500 per sqft ","₹1.55 Cr ",4355,1,2831.00,15500000,5500
"4 BHK Apartment for Sale in Happy Astoria, Vesu Surat","Carpet Area","1650 sqft","New Property","Poss. by Jul '25","9 out of 13",Unfurnished,North-East,"Luxurious 4 Bhk Flat For Sell In Vesu","₹5,500 per sqft ","₹1.65 Cr ",4162,1,1650.00,16500000,5500
"4 BHK Apartment for Sale in Happy Astoria, Vesu Surat","Carpet Area","1660 sqft",Resale,"Poss. by Jan '25","5 out of 13",Unfurnished,East,"fully furnished luxurious flat with all electronics","₹5,236 per sqft ","₹1.55 Cr ",3809,1,1660.00,15500000,5236
"4 BHK Apartment for Sale in Happy Astoria, Vesu Surat","Carpet Area","2653 sqft","New Property","Poss. by Jan '27","7 out of 13",Unfurnished,South-West,"Atmosphere Green stands with posture and perfection for an Iconic StructureRead more","₹6,281 per sqft ","₹3.03 Cr ",3734,1,2653.00,30300000,6281
"4 BHK Apartment for Sale in Happy Astoria, Vesu Surat","Super Area","2962 sqft","New Property","Poss. by Apr '25","7 out of 12",Unfurnished,East,"4 BHK Luxurious Flat For Sell In Vesu Prime Area,","₹5,991 per sqft ","₹1.77 Cr ",4081,1,2962.00,17700000,5991
"4 BHK Apartment for Sale in Happy Astoria, Vesu Surat","Super Area","2962 sqft","New Property","Poss. by Dec '24","5 out of 14",Unfurnished,South-West,"Happy Astoria is a perfect 4 bhk family living place. Its near to Air port, Malls, Multiplex, schools, hospitals, shopping, and good restaurants around.  Happy Astoria give you happy family living with all amenities like children play area, senior sitting, Open Amphitheater, jogging track, gym and indoor sports.Read more","₹5,991 per sqft ","₹1.77 Cr ",4230,1,2962.00,17700000,5991
"4 BHK Apartment for Sale in Happy Astoria, Vesu Surat","Super Area","3000 sqft","New Property","Poss. by Nov '28","5 out of 12",Unfurnished,East,"Looking for a 4 bhk property for sale in surat Buy this 4 bhk flat in dmd park that is situated in vesu, surat. The flat is southFacing. Constructed on a super built up area of 3000 sq.Ft., the flat comprises 4 bedrooms, 4 bathrooms and 1 balconies. The residential building has 12 floors in total and the flat for sale is located on the 5th floor. This residential property is still under construction and will be available for possession by november 2028Read more","₹6,200 per sqft ","₹1.86 Cr ",4421,1,3000.00,18600000,6200
"4 BHK Apartment for Sale in Happy Astoria, Vesu Surat","Super Area","3398 sqft","New Property","Poss. by Dec '24","5 out of 14",Unfurnished,East,"happy Astoria is ideal living for a family with 4 bhk, and the project include all amenities like club house, swimming pool, children play area, open Amphitheater, senior sitting, sports courts, indoor games, Good land space and garden, Gym and many more. An ideal family living project.Read more","₹5,991 per sqft ","₹2.03 Cr ",4384,1,3398.00,20300000,5991
"4 BHK Apartment for Sale in Happy Astoria, Vesu Surat","Super Area","3767 sqft","New Property","Poss. by Dec '24","5 out of 14",Unfurnished,East,"This is very ideally located, opposite phoenix on vesu main road. All shopping, cinema, medical stores, banks, ATM near by. The flooring is Italian marble, outdoor facility like open amphitheater, jogging track, Gazebo sitting, Kitty party zone, Senior citizen seat out, sports include multipurpose court for badminton, volley ball court, Basket ball, Box cricket pitch, children play area, skating rink, and many more. Perfect for a family living.Read more","₹5,991 per sqft ","₹2.25 Cr ",4271,1,3767.00,22500000,5991
"4 BHK Apartment for Sale in Happy Home Capital Greens, Vesu Surat","Carpet Area","2100 sqft",Resale,"Ready to Move","10 out of 12",Furnished,NULL,NULL,"₹9,781 per sqft ","₹3.31 Cr ",3792,1,2100.00,33100000,9781
"4 BHK Apartment for Sale in Harmony, Vesu Surat","Carpet Area","2400 sqft",Resale,"Ready to Move","9 out of 9",Furnished,NULL,"Experience luxury living at its finest with this exquisite 4 BHK flat for sale in Harmony, located in the prestigious Vesu area of Surat. Offering unparalleled elegance and modern amenities, this residence presents an exceptional opportunity to elevate your lifestyle in one of the city's most coveted neighborhoods.Property SpecificationsLocated on the 9th floor of a nine-storey building, this spacious 4 BHK flat offers a carpet area of 1800 sqft and boasts a south-east facing orientation. Thoughtfully furnished with wardrobes, AC, and a dining table, this flat exudes sophistication and comfort. The flat features four bedrooms, each accompanied by a western-style attached bathroom for utmost convenience. The living cum dining area provides a seamless space for relaxation and entertainment, while a balcony attached to the living room offers captivating views of the surrounding area.Additional amenities include a store room for added storage space, a well-equipped kitchen with platform, sink, piped gas connection, and an attached utility area. The interiors are adorned with elegant marble and vitrified flooring, adding to the overall allure of the residence.FacilitiesResidents of Harmony enjoy a range of facilities including covered parking, 24/7 water supply from both borewell and corporation, 100% power backup, security guard, CCTV surveillance, and two lifts for easy access to all floors. The complex also features a clubhouse for recreational activities.LocalityConveniently located opposite VR Mall and next to Olive Club, this prooperty offers easy access to schools, hospitals, malls, and supermarkets all within 1km while banks/ATMs close by. Public transport options are easily available and the railway station is just 20 minutes away, ensuring seamless connectivity for residents. Don't miss out on the opportunity to elevate your lifestyle in this prestigious neighborhood of Surat.Read more","₹6,200 per sqft ","₹1.55 Cr ",3712,1,2400.00,15500000,6200
"4 BHK Apartment for Sale in Harmony, Vesu Surat","Carpet Area","2550 sqft",Resale,"Ready to Move","5 out of 9",Furnished,NULL,"Multistorey apartment is available for sale. It has carpet area 2550 sq-ft, it is 4 BHK apartment. Please contact for more details.Read more",NULL,"₹1.70 Cr ",3815,1,2550.00,17000000,NULL
"4 BHK Apartment for Sale in Jahangirabad Surat","Super Area","2367 sqft",Resale,"Ready to Move","7 out of 12",Unfurnished,NULL,"A 4bhk Spacious garden facing flat available for sale at a very affordable and attractive price. The building has the facilities available like garden, children play area, sitting area, well designed building reception, indoor games, 2 automatic auto door lifts, Just 2 flats on the floor etcRead more","₹3,169 per sqft ","₹75 Lac ",2699,1,2367.00,7500000,3169
"4 BHK Apartment for Sale in KPM Terra Prime, Piplod Surat","Super Area","5175 sqft","New Property","Poss. by Jul '24","7 out of 13",Unfurnished,East,NULL,"₹8,500 per sqft ","₹4.39 Cr ",4489,1,5175.00,43900000,8500
"4 BHK Apartment for Sale in Laxmi Aarambh, Vesu Surat","Carpet Area","2033 sqft","New Property","Ready to Move","5 out of 12",Unfurnished,North-East,"Altra Luxurious 4 Bhk Flat For Sell In Vesu","₹5,627 per sqft ","₹2.07 Cr ",4279,1,2033.00,20700000,5627
"4 BHK Apartment for Sale in Laxmi Aarambh, Vesu Surat","Super Area","3693 sqft","New Property","Poss. by Jun '24","8 out of 13",Unfurnished,East,NULL,"₹5,497 per sqft ","₹2.03 Cr ",4418,1,3693.00,20300000,5497
"4 BHK Apartment for Sale in Laxmi Aarambh, Vesu Surat","Super Area","3700 sqft","New Property","Ready to Move","10 out of 13",Unfurnished,East,"Aarambh is where luxury meets comfort and style meets elegance.Where life is a laidback retreat, as well as an exciting adventure. Where you nurture your future while indulging in your present.Aarambh as opulence homes is elegantly landscaped to give you a lively feel of the warmth of the gleaming afternoon sun and the cool breeze of the evening along with a comfortable pavement for morning and evening strolls. Explore more and more reasons to appreciate life.Read more","₹5,676 per sqft ","₹2.10 Cr ",4334,1,3700.00,21000000,5676
"4 BHK Apartment for Sale in Laxmi Aarambh, Vesu Surat","Super Area","3700 sqft","New Property","Ready to Move","5 out of 12",Unfurnished,East,"Looking for a 4 bhk property for sale in surat Buy this 4 bhk flat in dmd park that is situated in vesu, surat. The flat is southFacing. Constructed on a super built up area of 3700 sq.Ft., the flat comprises 4 bedrooms, 4 bathrooms and 1 balconies. The residential building has 12 floors in total and the flat for sale is located on the 5th floor. This residential property is still under construction and will be available for possession by december 2023. The beautifully designed granite flooring enhances the beauty of the flat.Read more","₹5,800 per sqft ","₹2.14 Cr ",4248,1,3700.00,21400000,5800
"4 BHK Apartment for Sale in Madhav Opulence, Pal Surat","Carpet Area","1616 sqft","New Property","Poss. by Aug '24","5 out of 12",Unfurnished,East,NULL,"₹4,697 per sqft ","₹1.38 Cr ",3349,1,1616.00,13800000,4697
"4 BHK Apartment for Sale in Magdalla Surat","Super Area","3400 sqft","New Property","Poss. by Dec '26","6 out of 13",Unfurnished,East,"Fully red bricks construction and Beautiful Elevation with modern architectureRead more","₹5,700 per sqft ","₹1.93 Cr ",4121,1,3400.00,19300000,5700
"4 BHK Apartment for Sale in makkaipool Surat","Carpet Area","1250 sqft",Resale,"Ready to Move","9 out of 10",Semi-Furnished,NULL,NULL,"₹2,922 per sqft ","₹45 Lac ",1030,1,1250.00,4500000,2922
"4 BHK Apartment for Sale in Martand Hills, Althan Surat","Carpet Area","1702 sqft",Resale,"Ready to Move","7 out of 14",Unfurnished,North-East,"Luxurious 4 Bhk Flat For Sell In Althan","₹4,800 per sqft ","₹1.40 Cr ",3480,1,1702.00,14000000,4800
"4 BHK Apartment for Sale in Milestone Elitus, Vesu Surat","Super Area","3376 sqft","New Property","Poss. by Dec '26","5 out of 13",Unfurnished,East,"MILESTONE ELITUS,  is a premium 4 bhk project near canal road, Dream heritage crossing, on 2nd vip road.  Milestone superior construction and good amenities make a family living peaceful. Follows green building norms, with fire safety.  Good children playing area, banquet hall, Gym, and swimming pool.Read more","₹5,940 per sqft ","₹2 Cr ",4385,1,3376.00,20000000,5940
"4 BHK Apartment for Sale in Milestone Elitus, Vesu Surat","Super Area","3376 sqft","New Property","Poss. by Jun '24","8 out of 13",Unfurnished,East,"Luxurious Flat For Sell In Vesu Prime Area With All Aminities.","₹5,835 per sqft ","₹1.97 Cr ",4247,1,3376.00,19700000,5835
"4 BHK Apartment for Sale in Milestone Elitus, Vesu Surat","Super Area","3376 sqft","New Property","Poss. by Jun '25","5 out of 13",Unfurnished,East,"Prime Location on 2nd VIP Road. Reputed builder, modern amenities, under construction project. Value for money and pay payment schemeRead more","₹5,717 per sqft ","₹1.93 Cr ",4235,1,3376.00,19300000,5717
"4 BHK Apartment for Sale in Milestone Palacio, Athwa Surat","Carpet Area","2545 sqft",Resale,"Ready to Move","6 out of 12",Unfurnished,South-East,"The property has a pipedGas.The apartment is in a society that has amenities such as a fitness centregym, swimming pool and park. Additionally, it offers full power backUp.It offers one covered parking space. The flat is located in a gated society.This is a freehold property.Read more","₹6,000 per sqft ","₹2.77 Cr ",4488,1,2545.00,27700000,6000
"4 BHK Apartment for Sale in Milestone Pristine, Vesu Surat","Carpet Area","2310 sqft","New Property","Poss. by Dec '24","5 out of 12",Unfurnished,East,"pure Vegetarian Campus with Possession soon","₹5,786 per sqft ","₹2.43 Cr ",4274,1,2310.00,24300000,5786
"4 BHK Apartment for Sale in Milestone Pristine, Vesu Surat","Carpet Area","2340 sqft","New Property","Poss. by Nov '24","5 out of 12",Unfurnished,South-West,"3 And 4 BHK Luxurious Flat For Sell In Vesu Prime Area With All Aminities .Read more","₹7,000 per sqft ","₹3.92 Cr ",4457,1,2340.00,39200000,7000
"4 BHK Apartment for Sale in Milestone Pristine, Vesu Surat","Super Area","4300 sqft",NULL,"Poss. by Jan '25",NULL,NULL,NULL,"Multistorey Apartment for Sale in Vesu, Surat. Covered area is 4300.0  Sq-ft. This property belongs to "Milestone Pristine" .Read more","₹5,850 per sqft ","₹2.51 Cr ",4268,1,4300.00,25100000,5850
"4 BHK Apartment for Sale in Milestone Pristine, Vesu Surat","Super Area","4400 sqft",NULL,"Poss. by Jan '25",NULL,NULL,NULL,"Multistorey Apartment for Sale in Vesu, Surat. Covered area is 4400.0  Sq-ft. This property belongs to "Milestone Pristine" .Read more","₹5,850 per sqft ","₹2.57 Cr ",4307,1,4400.00,25700000,5850
"4 BHK Apartment for Sale in Milestone Pristine, Vesu Surat","Super Area","4436 sqft","New Property","Poss. by Sep '25","4 out of 12",Unfurnished,East,"Define the Ultra luxurious flats with luxurious life  style flats in vesucallfor more details......book Your Apartment now and grab the dealRead more","₹5,850 per sqft ","₹2.59 Cr ",4208,1,4436.00,25900000,5850
"4 BHK Apartment for Sale in Milestone Pristine, Vesu Surat","Super Area","4600 sqft",NULL,"Poss. by Jan '25",NULL,NULL,NULL,"Multistorey Apartment for Sale in Vesu, Surat. Covered area is 4600.0  Sq-ft. This property belongs to "Milestone Pristine" .Read more","₹5,850 per sqft ","₹2.69 Cr ",4343,1,4600.00,26900000,5850
"4 BHK Apartment for Sale in Milestone Regalia, Vesu Surat","Carpet Area","1807 sqft","New Property","Poss. by Sep '24","4 out of 13",Unfurnished,East,"Prime location, luxurious 4bhk apartment with modern amenities. 2 flats on each floor.Read more","₹5,753 per sqft ","₹1.89 Cr ",3647,1,1807.00,18900000,5753
"4 BHK Apartment for Sale in Milestone Regalia, Vesu Surat","Carpet Area","2800 sqft","New Property","Poss. by Dec '24","6 out of 12",Unfurnished,South-West,"4 BHK Luxurious Flat For Sell In Vesu Prime Area with Ultra Luxurious Aminities.Read more","₹6,000 per sqft ","₹1.92 Cr ",4393,1,2800.00,19200000,6000
"4 BHK Apartment for Sale in Milestone Regalia, Vesu Surat","Super Area","3200 sqft",Resale,"Poss. by May '25","3 out of 13",Unfurnished,East,NULL,"₹5,500 per sqft ","₹1.76 Cr ",3930,1,3200.00,17600000,5500
"4 BHK Apartment for Sale in Milestone Regalia, Vesu Surat","Super Area","3211 sqft","New Property","Poss. by Aug '24","8 out of 13",Unfurnished,South-West,"Second VIP  Road Under Development 4BHK  Project near Surat Diamond Bourse 2 Km And  Surat Airport Distance 7 km Far.4 BHK Campus.All Luxrious Amenities with Swimming Pool.Read more","₹5,263 per sqft ","₹1.69 Cr ",4259,1,3211.00,16900000,5263
"4 BHK Apartment for Sale in Milestone Regalia, Vesu Surat","Super Area","3211 sqft","New Property","Poss. by Sep '24","4 out of 13",Unfurnished,East,"Prime location, luxurious 4bhk apartment with modern amenities. 2 flats on each floor.Read more","₹5,761 per sqft ","₹1.85 Cr ",4302,1,3211.00,18500000,5761
"4 BHK Apartment for Sale in Milestone Regalia, Vesu Surat","Super Area","3285 sqft","New Property","Ready to Move","5 out of 13",Unfurnished,South,"Prime Location, all luxurious amenities","₹5,751 per sqft ","₹1.88 Cr ",4172,1,3285.00,18800000,5751
"4 BHK Apartment for Sale in Milestone Spiti, Vesu Surat","Carpet Area","1650 sqft",Resale,"Ready to Move","6 out of 10",Unfurnished,North-East,"Luxurious 4 Bhk Flat For Sell In Vesu","₹5,300 per sqft ","₹1.59 Cr ",4367,1,1650.00,15900000,5300
"4 BHK Apartment for Sale in Millionaires Avenue, Vesu Surat","Super Area","3113 sqft",Resale,"Ready to Move","7 out of 14",Unfurnished,East,"Best Location Of Vesu Area, VIP Road Touch, Reasonable Price and Very Easy Payment ScheduleRead more","₹6,200 per sqft ","₹1.93 Cr ",4188,1,3113.00,19300000,6200
"4 BHK Apartment for Sale in Millionaires Lifestyle, Vesu Surat","Carpet Area","1925 sqft","New Property","Poss. by Dec '25","5 out of 12",Unfurnished,North-East,"Check out Millionaires Lifestyle in Vesu, one of the upcoming underconstruction housing societies in Surat. There are apartments for sale in Millionaires Lifestyle. This society will have all basic facilities and amenities to suit homebuyers needs and requirements.Read more","₹6,500 per sqft ","₹2.27 Cr ",4378,1,1925.00,22700000,6500
"4 BHK Apartment for Sale in Millionaires Lifestyle, Vesu Surat","Carpet Area","1953 sqft","New Property","Ready to Move","5 out of 13",Unfurnished,East,"4 BHK Flat for Sale In Millionaires Lifestyle, VIP Road, Vesu, Surat.3113 To 3550 sqft Super AreaFor more Details Please Call on 99090 16161Read more","₹6,570 per sqft ","₹2.33 Cr ",4074,1,1953.00,23300000,6570
"4 BHK Apartment for Sale in Millionaires Lifestyle, Vesu Surat","Super Area","3113 sqft","New Property","Poss. by Dec '24","8 out of 14",Unfurnished,East,"Millionaires Lifestyle in Vesu, Surat is a ready to move residential project . The project offers meticulously designed 4 BHK FlatsApartments in Vesu, Surat for comfortable  peaceful living. The project is developed by Shreeji Develoupers  Milestone Reality.Read more","₹6,521 per sqft ","₹2.03 Cr ",4252,1,3113.00,20300000,6521
"4 BHK Apartment for Sale in Millionaires Lifestyle, Vesu Surat","Super Area","3113 sqft","New Property","Poss. by Jan '25","5 out of 12",Unfurnished,South-West,"Millionaire Lifestyle a modern living with all the lastest amenities inside the campus. with good flat planning inside with all the facilities.Read more","₹6,660 per sqft ","₹2.07 Cr ",4205,1,3113.00,20700000,6660
"4 BHK Apartment for Sale in Millionaires Lifestyle, Vesu Surat","Super Area","3275 sqft","New Property","Poss. by Dec '24","4 out of 12",Unfurnished,East,"4 bhk flat for salepool gardenpark main road property.","₹6,660 per sqft ","₹2.18 Cr ",4407,1,3275.00,21800000,6660
"4 BHK Apartment for Sale in Millionaires Lifestyle, Vesu Surat","Super Area","3500 sqft","New Property","Poss. by Dec '26","5 out of 12",Unfurnished,East,"he beautifully designed granite flooring enhances the beauty of the flat. Moreover, this property offers close proximity to important landmarks such as close to mall, , and close to school. Many of the modern amenities being offered, like swimming pool, cctv surveillance, club house  community center, fitness centre  gym, park, lifts, maintenance staff and visitor parking, will provide a pleasant living experience for you. This residential project ensures a 247 water supply for its residents.Read more","₹6,500 per sqft ","₹2.27 Cr ",4416,1,3500.00,22700000,6500
"4 BHK Apartment for Sale in Nandini 1, Vesu Surat","Carpet Area","1300 sqft",Resale,"Ready to Move","8 out of 13",Unfurnished,North-East,"Altra Luxurious 3.5 Bhk Flat For Sell In Vesu at premium locationRead more","₹5,000 per sqft ","₹1 Cr ",2620,1,1300.00,10000000,5000
"4 BHK Apartment for Sale in New citylight Surat","Super Area","4900 sqft","New Property","Poss. by Jan '25","7 out of 12",Unfurnished,East,"4 And 5 BHK Ultra Luxurious Flat For Sell In New City Light Prime Area .Contact for More Details .Read more","₹6,300 per sqft ","₹3.08 Cr ",3864,1,4900.00,30800000,6300
"4 BHK Apartment for Sale in Newtone Ashirwad River Homes 1, Piplod Surat","Carpet Area","2500 sqft","New Property","Ready to Move","6 out of 12",Unfurnished,East,NULL,"₹9,102 per sqft ","₹3.70 Cr ",4342,1,2500.00,37000000,9102
"4 BHK Apartment for Sale in Oliva Pride, Althan Surat","Carpet Area","1577 sqft","New Property","Ready to Move","9 out of 14",Unfurnished,North-East,"Luxurious 4 Bhk Flat For Sell In Althan","₹4,743 per sqft ","₹1.29 Cr ",3493,1,1577.00,12900000,4743
"4 BHK Apartment for Sale in Oliva Pride, Althan Surat","Super Area","2720 sqft","New Property","Poss. by Jul '24","5 out of 12",Unfurnished,East,"4 BHK Luxurious Flat For Sell Inn Althan Prime Location .","₹4,700 per sqft ","₹1.27 Cr ",3497,1,2720.00,12700000,4700
"4 BHK Apartment for Sale in Om Icon, Vesu Surat","Carpet Area","1850 sqft",Resale,"Ready to Move","7 out of 11",Unfurnished,North-East,"Altra Luxurious 4 Bhk Flat For Sell In Vesu","₹5,634 per sqft ","₹2 Cr ",4345,1,1850.00,20000000,5634
"4 BHK Apartment for Sale in Pal Road Surat","Super Area","3800 sqft",Resale,"Poss. by May '26","5 out of 12",Unfurnished,East,"4 BHK Luxurious Flat For Sell In Gaurav Path Pal Prime Location With All Aminities.Read more","₹4,868 per sqft ","₹1.85 Cr ",3953,1,3800.00,18500000,4868
"4 BHK Apartment for Sale in Pal Surat","Carpet Area","1450 sqft","New Property","Poss. by Feb '25","4 out of 14",Unfurnished,East,"With a rich legacy of trust spanning four decades, at Lodha, we are driven by our passion to exceed global standards and deliver iconic addresses. We go to extraordinary lengths, from carefully restoring heritage buildings to sourcing the best minds in architecture and design. Our iconic developments offer unmatched amenities, stateoftheart infrastructure and unparalleled services that perfectly orchestrate a celebration of lifes finest moments.Read more","₹4,500 per sqft ","₹1.17 Cr ",3162,1,1450.00,11700000,4500
"4 BHK Apartment for Sale in Pal Surat","Carpet Area","1490 sqft",NULL,"Ready to Move",NULL,NULL,NULL,"4 BHK LUXURIOUS FLATS. The Gateway of Prosperity.","₹5,451 per sqft ","₹1.39 Cr ",2994,1,1490.00,13900000,5451
"4 BHK Apartment for Sale in Pal Surat","Carpet Area","1503 sqft","New Property","Poss. by Dec '25","6 out of 13",Unfurnished,East,"Check out This Project  in PAL, one of the upcoming under construction housing societies in Surat. This society will have all basic facilities and amenities to suit homebuyers needs and requirements. possession in Mar, 2026.Read more","₹4,751 per sqft ","₹1.37 Cr ",3035,1,1503.00,13700000,4751
"4 BHK Apartment for Sale in Pal Surat","Carpet Area","1600 sqft","New Property","Poss. by Dec '25","3 out of 13",Unfurnished,South-West,"we strive to create memorable and personalized housing options that differentiate themselves from the typical largescale development. Our dedication to craftsmanship and customisation is reflected in everything that goes into our homes. We want these unique touches to be at the core of the experience for all of our clients. Together with our customers, we strive to design beautiful, inspiring homes that serve their needs.Read more","₹3,751 per sqft ","₹1.07 Cr ",3031,1,1600.00,10700000,3751
"4 BHK Apartment for Sale in Pal Surat","Carpet Area","1616 sqft",NULL,"Poss. by Dec '26",NULL,NULL,NULL,"A NEW LANDMARK AWAITS::::::::A Celebrated Lifestyle in Glory of Nature.::::Only 500 meter from Pal Umra Bridge, Pal RTO and Hazira main Road.:::: Located at 100 FT. wide Gaurav path Road::::Deck Balcony ProjectRead more","₹4,700 per sqft ","₹1.38 Cr ",3544,1,1616.00,13800000,4700
"4 BHK Apartment for Sale in Pal Surat","Carpet Area","1720 sqft",NULL,"Ready to Move",NULL,NULL,NULL,"4 BHK Uber Luxurious Living Flats.","₹6,060 per sqft ","₹1.73 Cr ",4337,1,1720.00,17300000,6060
"4 BHK Apartment for Sale in Pal Surat","Carpet Area","1740 sqft",NULL,"Poss. by May '25",NULL,NULL,NULL,"3 BHK PROMISING EXCELLENCE::::::::3 Side Open Deck Balcony::::EV car charging point per flat:::: 27000 Sqft of Landscape and amenities areaRead more","₹4,650 per sqft ","₹1.34 Cr ",3553,1,1740.00,13400000,4650
"4 BHK Apartment for Sale in Pal Surat","Carpet Area","1778 sqft","New Property","Poss. by Jun '26","5 out of 12",Unfurnished,East,NULL,"₹4,763 per sqft ","₹1.54 Cr ",4065,1,1778.00,15400000,4763
"4 BHK Apartment for Sale in Pal Surat","Carpet Area","1800 sqft",Resale,"Ready to Move","7 out of 12",Unfurnished,East,"4 bhk luxurious flat for sale in pal surat near tgb circle pal.","₹4,649 per sqft ","₹1.72 Cr ",3994,1,1800.00,17200000,4649
"4 BHK Apartment for Sale in Pal Surat","Carpet Area","2000 sqft","New Property","Poss. by Jul '25","6 out of 12",Unfurnished,East,NULL,"₹5,108 per sqft ","₹1.40 Cr ",3463,1,2000.00,14000000,5108
"4 BHK Apartment for Sale in Pal Surat","Carpet Area","2000 sqft","New Property","Poss. by May '25","6 out of 12",Unfurnished,East,NULL,"₹6,000 per sqft ","₹2.10 Cr ",4132,1,2000.00,21000000,6000
"4 BHK Apartment for Sale in Pal Surat","Carpet Area","2064 sqft","New Property","Poss. by Mar '26","10 out of 20",Unfurnished,East,NULL,"₹6,318 per sqft ","₹2.37 Cr ",4023,1,2064.00,23700000,6318
"4 BHK Apartment for Sale in Pal Surat","Carpet Area","2100 sqft","New Property","Poss. by Dec '25","4 out of 14",Unfurnished,East,"When it comes to beautiful homes, nothing beats us. With our appealing 4 BHK flats, enjoy the beauty of living life the luxurious way. Along with being located in the heart of the city, we are ecoconscious and believe in promoting an ecofriendly lifestyle.Our carefully planned layout, landscape, architecture, interior design  stateoftheart residential amenities, lifestyle here will be a truly luxurious  blissful experience.Alluring aesthetics, luxury, and comfort interspersed with best architectural offering are our biggest priorities while designing these stunning homes.Read more","₹4,750 per sqft ","₹1.80 Cr ",3512,1,2100.00,18000000,4750
"4 BHK Apartment for Sale in Pal Surat","Carpet Area","2154 sqft",Resale,"Ready to Move","4 out of 13",Unfurnished,NULL,NULL,"₹6,536 per sqft ","₹2.50 Cr ",3768,1,2154.00,25000000,6536
"4 BHK Apartment for Sale in Pal Surat","Carpet Area","2360 sqft",NULL,"Ready to Move",NULL,NULL,NULL,"4 Bhk Premium Apartments with Deck Balcony.","₹6,060 per sqft ","₹2.52 Cr ",4195,1,2360.00,25200000,6060
"4 BHK Apartment for Sale in Pal Surat","Carpet Area","2500 sqft",Resale,"Ready to Move","5 out of 15",Unfurnished,South-West,"fully vegetarian campus in pal surat","₹5,687 per sqft ","₹2.17 Cr ",3915,1,2500.00,21700000,5687
"4 BHK Apartment for Sale in Pal Surat","Super Area","2565 sqft",Resale,"Ready to Move","5 out of 13",Semi-Furnished,East,"4 BHK For Sell In Pal Area With All Aminities ,","₹5,341 per sqft ","₹1.37 Cr ",3256,1,2565.00,13700000,5341
"4 BHK Apartment for Sale in Pal Surat","Super Area","2781 sqft","New Property","Poss. by Feb '25","4 out of 13",Unfurnished,East,"Luxurious Flat For Sell In Surat Prime Location With All Aminities.Read more","₹4,279 per sqft ","₹1.19 Cr ",3239,1,2781.00,11900000,4279
"4 BHK Apartment for Sale in Pal Surat","Super Area","3240 sqft","New Property","Poss. by Oct '25","11 out of 12",Unfurnished,East,"luxurious segment 4bhk Pentahouse dekh balcony extra terrace 20 month peymant conditions near pal walkway Road AdajanRead more","₹5,185 per sqft ","₹1.68 Cr ",3871,1,3240.00,16800000,5185
"4 BHK Apartment for Sale in Pal Surat","Super Area","3250 sqft","New Property","Poss. by Aug '26","5 out of 13",Unfurnished,South-West,"LUXURY LIVING AT EPITOMEDiscover the epitome of luxury at Epitome, where meticulously crafted apartments redefine sophistication. Dive into a world of opulence and leisure with an array of exclusive amenities that redefine upscale living. Enhanced with meticulously designed 3 BHK, and 4 BHK flats in Surat that redefine sophistication.For celebrations, the banquet hall provides a sophisticated space, while the stateoftheart gymnasium ensures your health and wellness needs are met. Thoughtfully designed entrances, doublecoat plaster facades, and automatic passenger elevators add convenience.Read more","₹4,677 per sqft ","₹1.52 Cr ",3883,1,3250.00,15200000,4677
"4 BHK Apartment for Sale in Pal Surat","Super Area","3259 sqft","New Property","Poss. by Mar '25","6 out of 13",Unfurnished,East,NULL,"₹4,750 per sqft ","₹1.54 Cr ",3916,1,3259.00,15400000,4750
"4 BHK Apartment for Sale in Pal Surat","Super Area","3261 sqft","New Property","Poss. by Aug '25","5 out of 10",Unfurnished,East,"New project in pal3 BHK 2340 SQ FT4 BHK 3261 SQ FTALL LUXURIOUS AMENITIES.Read more","₹5,652 per sqft ","₹1.84 Cr ",4096,1,3261.00,18400000,5652
